home,total,baseline,defrost,usage,usage_cycles,non_usage_cycles,defrost_cycles,baseline_duty_percent,total_mins,artifical_sum,baseline_percentage,defrost_percentage,usage_percentage
1,36.1886105507,24.4557631469,0.0,11.7180865838,1628.0,2019.0,0.0,0.444444444444,44339.0,36.1738497307,67.5786187275,0.0,32.3805926933
2,63.3014207832,51.9559396119,0.0,11.3438802451,838.0,2516.0,0.0,0.705882352941,108837.0,63.299819857,82.0770513033,0.0,17.9204196442
8,63.350315185,42.1977526869,0.0,21.1515834193,3495.0,3968.0,0.0,0.444444444444,108837.0,63.3493361062,66.6101700736,0.0,33.3882844269
11,78.9987801529,72.3240093435,0.0,6.54506744787,785.0,5141.0,0.0,0.8,86098.0,78.8690767913,91.550792561,0.0,8.28502343354
13,50.5351732731,36.006342218,0.0,14.4663091898,950.0,1326.0,0.0,0.5,40018.0,50.4726514079,71.2500618598,0.0,28.6262186371
14,31.44239504,23.3297449585,0.0,8.10727776198,3770.0,5526.0,0.0,0.5,65938.0,31.4370227205,74.1983711129,0.0,25.7845426586
15,45.1923228689,26.4922870077,0.0,18.6912487092,8393.0,3829.0,0.0,0.333333333333,65878.0,45.1835357168,58.6212111392,0.0,41.3593449565
18,48.3451650682,36.3019192466,0.0,12.0370008864,2835.0,5051.0,0.0,0.571428571429,108837.0,48.3389201331,75.0890377465,0.0,24.8980448603
22,47.7501762305,34.2189035663,0.0,13.504599382,5160.0,6804.0,0.0,0.5,108837.0,47.7235029483,71.6623607862,0.0,28.2817791432
25,36.1787811854,20.1179746261,0.0,16.05915271,4476.0,3303.0,0.0,0.333333333333,108837.0,36.1771273361,55.6071099327,0.0,44.3883187432
29,38.4093476333,24.8059142148,0.0,13.6021235697,3977.0,5423.0,0.0,0.428571428571,108837.0,38.4080377846,64.5830136239,0.0,35.413576142
33,32.8007939133,14.5136501926,0.0,18.2854898713,7488.0,3249.0,0.0,0.214285714286,108837.0,32.7991400639,44.2478625091,0.0,55.7470953894
34,51.6864302696,51.6391963325,0.0,0.0,0.0,7177.0,0.0,0.923076923077,108837.0,51.6391963325,99.9086144335,0.0,0.0
35,76.3732276397,54.4142099823,0.0,21.9418705475,1463.0,3241.0,0.0,0.555555555556,108837.0,76.3560805298,71.2477548271,0.0,28.7297934441
37,40.3902623401,32.7786987577,0.0,7.58221098406,1285.0,4416.0,0.0,0.5,86098.0,40.3609097418,81.1549538395,0.0,18.772373698
42,36.4945930949,36.4466569664,0.0,0.0,0.0,2273.0,0.0,0.927272727273,44339.0,36.4466569664,99.8686486833,0.0,0.0
43,35.9953223344,24.8615198287,0.0,11.1135177368,2059.0,3333.0,0.0,0.428571428571,65878.0,35.9750375655,69.0687517611,0.0,30.8748943364
