home,total,baseline,defrost,usage,usage_cycles,non_usage_cycles,defrost_cycles,baseline_duty_percent,total_mins,artifical_sum,baseline_percentage,defrost_percentage,usage_percentage
1,33.8547608878,23.0177416666,0.0,10.8222584011,1780.0,2435.0,0.0,0.428571428571,44339.0,33.8400000677,67.9896743117,0.0,31.9667252619
2,44.9369917379,39.9067424344,0.0,5.02244313465,1292.0,4573.0,0.0,0.647058823529,108837.0,44.9291855691,88.8059945515,0.0,11.1766340834
8,46.0294319948,17.6469164332,0.0,28.3727247735,8552.0,2629.0,0.0,0.2,108837.0,46.0196412067,38.3383319507,0.0,61.6403973369
11,65.7450032675,62.7956541942,0.0,2.93489856333,439.0,7317.0,0.0,0.8,86098.0,65.7305527575,95.5139570665,0.0,4.46406330134
13,51.4354881333,40.0340007798,0.0,11.3314628644,989.0,2106.0,0.0,0.6,40018.0,51.3654636441,77.8334224729,0.0,22.030437108
14,30.7815997461,26.2246193008,0.0,4.54534041978,2355.0,8058.0,0.0,0.6,65938.0,30.7699597206,85.1957647333,0.0,14.7664203851
15,39.3575664894,24.3089711771,0.0,15.0456881202,7906.0,4361.0,0.0,0.333333333333,65878.0,39.3546592973,61.7644162112,0.0,38.2281971734
18,40.3250807058,25.7405110909,0.0,14.5599603367,7011.0,5022.0,0.0,0.4,108837.0,40.3004714277,63.8325097939,0.0,36.1064629801
22,45.8246986776,31.2220142147,0.0,14.5967570669,5053.0,6962.0,0.0,0.428571428571,108837.0,45.8187712816,68.1335941439,0.0,31.8534709188
25,40.6036550882,32.941205722,0.0,7.65996859218,2497.0,7368.0,0.0,0.6,108837.0,40.6011743142,81.1286709299,0.0,18.8652193393
29,37.4075250893,22.7774256637,0.0,14.6294577321,5873.0,4000.0,0.0,0.4,108837.0,37.4068833957,60.889956257,0.0,39.10832833
33,42.6774101573,30.8702300649,0.0,11.8055394738,5501.0,8594.0,0.0,0.428571428571,108837.0,42.6757695388,72.3338880011,0.0,27.6622677672
34,51.952951398,51.9141124002,0.0,0.0,0.0,7439.0,0.0,0.923076923077,108837.0,51.9141124002,99.9252419799,0.0,0.0
35,84.1785166655,77.0583975741,0.0,7.03497892749,511.0,4540.0,0.0,0.8,108837.0,84.0933765016,91.5416434342,0.0,8.3572141755
37,39.6070664454,32.3707293316,0.0,7.20828907547,1459.0,4682.0,0.0,0.473684210526,86098.0,39.5790184071,81.7296816875,0.0,18.1995025696
42,35.9772661357,35.92984964,0.0,0.0,0.0,2394.0,0.0,0.888888888889,44339.0,35.92984964,99.8682042834,0.0,0.0
44,40.6074787879,31.0386981519,0.0,9.56813232708,3760.0,7049.0,0.0,0.6,108837.0,40.606830479,76.435915448,0.0,23.5624880261
45,45.1650575616,39.0970823063,0.0,6.06705571505,1816.0,4603.0,0.0,0.538461538462,108837.0,45.1641380214,86.5648898,0.0,13.433074245
47,46.3749566772,19.8166039324,0.0,26.5333454149,3692.0,1274.0,0.0,0.25,44339.0,46.3499493473,42.7312613363,0.0,57.2148144517
50,45.5663607957,30.6271066518,0.0,14.8433970362,1708.0,2914.0,0.0,0.5,108837.0,45.4705036881,67.2142916771,0.0,32.5753401786
51,29.5900968516,9.37425510174,0.0,20.2120290843,1918.0,540.0,0.0,0.142857142857,23039.0,29.5862841861,31.6803799216,0.0,68.3067351409
52,54.7494080799,44.2267007357,0.0,10.5201578956,1467.0,3210.0,0.0,0.555555555556,44339.0,54.7468586313,80.7802354159,0.0,19.2151080067
54,33.8871347738,25.5358571585,0.0,8.34492683386,7100.0,10142.0,0.0,0.5,108837.0,33.8807839923,75.3556101126,0.0,24.6256489065
57,35.7984619917,17.8190821493,0.0,17.9744976792,6988.0,3054.0,0.0,0.25,108837.0,35.7935798285,49.7761109217,0.0,50.2102511649
58,39.5218523903,30.3589713664,0.0,9.15897793943,3897.0,7926.0,0.0,0.5,108837.0,39.5179493059,76.8156590097,0.0,23.1744652274
59,32.626610501,6.74227185119,0.0,25.8665564618,4647.0,493.0,0.0,0.0952380952381,108837.0,32.608828313,20.6649472552,0.0,79.2805506442
60,42.1335914181,31.5981378288,0.0,10.5339585094,7056.0,9802.0,0.0,0.5,108837.0,42.1320963383,74.9951209127,0.0,25.0013306602
61,44.6742149244,34.858059234,0.0,9.78467962978,2400.0,3751.0,0.0,0.526315789474,108837.0,44.6427388638,78.0272452308,0.0,21.9022978833
67,60.322705728,48.9920010695,0.0,11.310507324,1502.0,4047.0,0.0,0.6,65878.0,60.3025083935,81.2165178571,0.0,18.75
68,45.9964396892,39.9844429874,0.0,6.00496736885,262.0,1123.0,0.0,0.727272727273,22739.0,45.9894103563,86.929430316,0.0,13.0552873427
70,53.3660245762,44.9395501673,0.0,8.36225387993,858.0,1403.0,0.0,0.625,65878.0,53.3018040472,84.2100391104,0.0,15.6696211613
72,49.8270865322,39.2792354017,0.0,10.4612911255,1851.0,3179.0,0.0,0.538461538462,65878.0,49.7405265271,78.8310899461,0.0,20.9951892706
75,58.850336676,58.8149112232,0.0,0.0,0.0,3884.0,0.0,0.909090909091,108837.0,58.8149112232,99.9398041629,0.0,0.0
76,48.4067997902,13.3000887627,0.0,34.9911069482,3389.0,661.0,0.0,0.166666666667,86098.0,48.2911957109,27.4756621391,0.0,72.2855200093
78,69.5577012885,56.7653203106,0.0,12.7905418975,1181.0,4621.0,0.0,0.714285714286,108837.0,69.5558622081,81.6089653036,0.0,18.3883907325
79,45.7962936841,31.5631705134,0.0,14.1899339362,343.0,406.0,0.0,0.469565217391,22739.0,45.7531044497,68.9207968032,0.0,30.9848959265
83,48.6789978647,38.7696875,0.0,9.89762095753,2104.0,3578.0,0.0,0.625,108837.0,48.6673084575,79.6435612906,0.0,20.3324254642
84,54.5649616571,33.0339072851,0.0,21.4024510475,3504.0,3260.0,0.0,0.5,108837.0,54.4363583326,60.5405122296,0.0,39.2237992982
87,46.9769884343,30.5636980682,0.0,16.407594509,4252.0,5442.0,0.0,0.444444444444,108837.0,46.9712925772,65.0609991975,0.0,34.9268760212
88,29.0912296952,21.4634569188,0.0,7.62697231328,7242.0,6802.0,0.0,0.4,108837.0,29.0904292321,73.7798200479,0.0,26.2174283906
