home,total,baseline,defrost,usage,usage_cycles,non_usage_cycles,defrost_cycles,baseline_duty_percent,total_mins,artifical_sum,baseline_percentage,defrost_percentage,usage_percentage
1,79.5788449685,20.4464777193,54.1341671886,6.74848834102,960.0,1815.0,202.0,0.454545454545,44339.0,81.3291332489,25.6933582378,68.0258267258,8.48025419783
2,137.838624273,36.1871239797,118.359388312,5.43192844783,502.0,1813.0,1004.0,0.705882352941,108837.0,159.97844074,26.2532538834,85.8680859133,3.94078835049
8,125.837029938,33.5182227365,89.3748796844,2.21349719652,1020.0,5540.0,520.0,0.526315789474,108837.0,125.106599617,26.6362157093,71.0243079706,1.75901894507
11,159.606032515,158.087587236,0.0,0.0,0.0,2582.0,0.0,0.875,86098.0,158.087587236,99.0486291432,0.0,0.0
13,144.043846557,32.7444638844,105.892064591,10.0953268512,448.0,1088.0,168.0,0.538461538462,40018.0,148.731855327,22.7322892765,73.5137717593,7.00850962574
14,139.553903643,14.3787582562,37.8129285842,6.09213747465,3386.0,4426.0,27.0,0.333333333333,65938.0,58.2838243151,10.3033723033,27.0955721031,4.36543680658
15,83.1601531764,15.4100908047,0.0,8.26630014708,4548.0,3752.0,0.0,0.25,65878.0,23.6763909518,18.5306185908,0.0,9.94021755773
18,118.670616296,21.5703495251,0.0,12.4074520848,2238.0,2628.0,0.0,0.368421052632,108837.0,33.9778016099,18.1766558549,0.0,10.4553700588
22,100.29152753,81.7202436395,0.0,17.7800224436,1741.0,2251.0,0.0,0.708333333333,108837.0,99.5002660831,81.482699139,0.0,17.7283394534
25,102.74754672,98.8458439382,0.0,2.23114026663,171.0,5432.0,0.0,0.833333333333,108837.0,101.076984205,96.2026316868,0.0,2.1714778969
29,57.7859192423,14.3643209858,30.172298084,6.21311062738,2761.0,4168.0,456.0,0.333333333333,108837.0,50.7497296971,24.8578220682,52.2139276827,10.751945645
33,89.6408634886,33.4454226676,50.7123866512,5.97164788209,2559.0,5775.0,209.0,0.5625,108837.0,90.129457201,37.3104646319,56.5728448808,6.66174738806
34,144.726106301,144.044105751,0.0,0.0,0.0,2563.0,0.0,0.96875,108837.0,144.044105751,99.5287646662,0.0,0.0
35,77.1294734032,52.5100290648,0.0,23.7361679604,2401.0,1988.0,0.0,0.576923076923,108837.0,76.2461970253,68.080367657,0.0,30.7744457639
37,101.136442861,62.5305730697,0.0,32.4575218335,1579.0,1886.0,0.0,0.52380952381,86098.0,94.9880949032,61.8279339287,0.0,32.0928054374
42,84.658255881,71.644913355,0.0,12.2528714005,221.0,1618.0,0.0,0.763157894737,44339.0,83.8977847556,84.6283833862,0.0,14.4733331357
43,63.5319288438,58.9484448366,0.0,4.49425569809,652.0,4334.0,0.0,0.769230769231,65878.0,63.4427005347,92.7855424971,0.0,7.07401109942
44,75.818777957,33.021583026,0.0,14.2946279237,804.0,1104.0,0.0,0.432432432432,108837.0,47.3162109496,43.5533042285,0.0,18.853677557
45,104.024536717,29.144117716,0.0,0.869810680571,310.0,2891.0,0.0,0.58064516129,108837.0,30.0139283966,28.0165801606,0.0,0.836159148624
46,123.194165466,52.8379920876,53.0546532112,16.8935883049,1475.0,2951.0,107.0,0.592592592593,108837.0,122.786233604,42.8900117856,43.0658814162,13.7129775919
47,112.506256117,28.0453130623,0.0,6.5955515964,1401.0,3297.0,0.0,0.5,44339.0,34.6408646587,24.9277809343,0.0,5.86238652323
50,71.0488383129,3.02074147323,0.0,5.63297693689,1640.0,732.0,0.0,0.08,108837.0,8.65371841012,4.25164090639,0.0,7.92831673346
51,153.179117456,7.57721951253,130.514789965,7.6823178243,295.0,369.0,186.0,0.1875,23039.0,145.774327302,4.94664001098,85.2040357285,5.01525139452
52,237.87987147,18.3397030392,218.306195885,12.8991612286,1250.0,1117.0,777.0,0.238095238095,44339.0,249.545060153,7.709648961,91.7716133511,5.42255263084
54,153.145357124,43.4062232264,110.161076141,8.3179055795,1080.0,3729.0,977.0,0.692307692308,108837.0,161.885204946,28.3431532248,71.9323642644,5.43137953098
