,CO,FHMM,GT,Hart
1,100.0,98.9807904074,100.716306682,118.513791125
2,105.0,117.215330843,104.665395926,116.953426751
8,135.0,97.7619479662,156.159757762,144.96095494
11,136.0,143.885068588,145.586608039,143.426608094
13,129.0,130.102571216,130.095643207,141.391674573
15,26.0,103.383206376,138.865446593,136.685392436
18,111.0,115.821021893,117.763458821,153.974018516
22,126.0,95.7005603894,131.011641105,129.767271473
25,115.0,118.63519749,133.212200838,808.710551306
29,37.0,67.8411594272,101.737066964,120.719609462
33,117.0,107.597251988,124.149521315,126.578154912
34,20.0,128.003188156,144.539704379,133.518018067
35,157.0,127.800565529,167.943504422,160.475628847
37,127.0,92.6390872725,135.848315471,127.63125104
42,67.0,66.6583406386,68.6787387031,115.268372035
43,111.0,83.5849671848,113.134173108,120.486778528
44,27.0,134.337616749,134.661600358,552.882165914
45,129.0,125.915390847,135.197636173,129.483679745
46,16.0,127.507703385,148.266036462,150.780253397
47,134.0,119.605417705,139.463437159,151.633269454
50,16.0,139.588635893,143.685393835,167.859305884
51,114.0,113.970966846,118.010280743,596.892565608
52,149.0,114.863438998,161.333664529,136.754504253
54,88.0,90.2002505249,102.965764603,97.0724368191
55,17.0,108.735713576,107.775493974,127.954639892
57,22.0,129.694486334,130.332206962,140.029788526
58,21.0,164.396162051,168.229259186,346.91281692
59,101.0,99.7026949541,101.950945626,130.553807036
60,106.0,54.1494146032,106.983174425,284.696875993
61,118.0,118.397182384,118.48100332,488.25788827
67,48.0,189.72102755,190.231426887,146.207127951
68,111.0,101.798228949,106.150726278,184.730348802
72,133.0,143.634266197,149.24210187,138.341650859
75,116.0,51.8135343483,117.756424695,151.575345338
76,143.0,143.337238554,143.7992201,272.921104182
78,134.0,127.180261184,138.028755089,426.039145753
79,114.0,117.364747589,122.317942231,140.653981126
83,84.0,84.7056273619,89.2469386603,117.396517523
84,96.0,112.353509789,117.635475549,157.566057278
87,119.0,118.630810285,122.763218875,213.476858916
88,109.0,110.782256892,111.523219377,344.038248186
89,115.0,116.480832942,122.022873547,118.742959841
92,25.0,199.030952122,241.786811482,173.421268494
93,134.0,79.4792335902,142.797201877,157.244284718
95,23.0,138.176253306,142.052304045,136.927851556
97,124.0,126.039827486,126.690481574,134.237924188
99,130.0,119.096332542,135.730079681,354.653000491
100,116.0,103.031135006,127.14175181,136.321616714
102,114.0,118.305014213,126.036166996,147.381666659
103,21.0,172.563978167,173.244616987,205.718936267
104,28.0,189.077487864,235.181087077,205.718936267
106,113.0,113.540901679,115.136325554,284.353748923
107,105.0,103.577010614,112.622775801,112.571949061
109,16.0,177.789659699,178.283334848,437.07886204
110,94.0,109.936598618,111.439044184,207.895368311
112,132.0,135.2256542,136.195446921,127.741800162
114,14.0,131.618451266,132.508228894,178.468358387
115,117.0,101.887591828,123.119731216,136.478491497
116,98.0,100.742911213,112.357743691,112.760930012
118,99.0,97.6824235785,104.301777376,107.348318752
119,75.0,94.3675908299,99.6933765916,114.299659071
123,126.0,95.0978161161,131.804336495,140.821680071
124,115.0,116.777849519,118.15233446,182.699126543
125,158.0,163.210479884,163.31358951,182.699126543
126,177.0,169.958798187,170.59671932,276.153466507
128,104.0,126.686155271,127.08039016,128.195829966
129,116.0,75.0877993658,114.640753642,141.930419524
130,18.0,122.492449054,123.341301582,131.611652445
131,124.0,135.616938542,145.7674835,127.636826875
133,80.0,81.3881172804,80.8473700047,141.59314729
134,25.0,54.9804488356,106.654441192,141.59314729
135,47.0,134.226700943,140.999532492,134.041187591
136,109.0,105.081659394,110.36105626,134.639527174
138,92.0,93.2635367371,93.9033942559,112.497811703
139,106.0,110.964232319,110.701764783,4943.89817025
140,81.0,81.4596875818,84.486322617,88.9365568608
142,25.0,90.3860186086,149.167075772,124.224664987
144,192.0,192.852350666,191.10550988,297.561994
145,96.0,101.007775429,103.500881457,113.964202282
146,115.0,130.341197002,131.812552102,816.669846298
149,121.0,100.237363384,130.099508713,413.655109971
151,108.0,105.967608307,107.348903778,147.27649822
152,140.0,143.026115935,149.406909202,142.139101744
153,165.0,168.398478856,169.178540864,195.834590792
154,26.0,148.994923553,151.187092652,187.419281256
155,18.0,239.597099162,240.793126812,136.643183166
157,15.0,165.92796716,164.700345755,223.076565016
158,17.0,156.11808953,156.4226689,205.520957168
159,104.0,122.490762259,131.12543835,130.279354726
161,29.0,108.533811086,110.991908317,689.448347871
163,136.0,138.587716621,139.532541658,322.854458039
167,134.0,135.589243008,137.254499386,459.172559421
169,15.0,165.774624284,171.834978378,152.606418121
170,138.0,137.22209176,138.098547311,132.183376577
