home,total,baseline,defrost,usage,usage_cycles,non_usage_cycles,defrost_cycles,baseline_duty_percent,total_mins,artifical_sum,baseline_percentage,defrost_percentage,usage_percentage
1,24.8071247269,19.7334573379,0.505529957919,2.42216275206,208.0,396.0,8.0,0.292857142857,87538.0,22.6611500479,79.5475394878,2.03784180345,9.7639802223
2,41.6547456416,16.8794079348,8.16951182506,5.92751337016,1781.0,1359.0,183.0,0.310344827586,216415.0,30.97643313,40.5221726236,19.6124395893,14.2301033864
8,54.1282001313,36.8944319087,2.06395449906,9.0437256207,5434.0,4488.0,54.0,0.35,216775.0,48.0021120285,68.1612021445,3.81308540474,16.7079740297
11,68.6389265675,47.0063859277,4.68020336647,6.06730133909,3254.0,4881.0,156.0,0.529411764706,172136.0,57.7538906332,68.483567967,6.81858473102,8.83944671414
13,58.7311431885,34.82161687,3.80844873634,6.71913388548,371.0,474.0,33.0,0.462222222222,77458.0,45.3491994918,59.2898673165,6.48454725991,11.4404956565
14,51.536157391,28.3050320964,5.07030730264,4.48300283602,1046.0,1136.0,55.0,0.470588235294,91857.0,37.858342235,54.9226669765,9.8383495381,8.69875260976
15,57.5628460493,35.9627962113,1.7674449303,6.47477887452,1251.0,1718.0,0.0,0.414634146341,129237.0,44.2050200162,62.4757090372,3.07046133331,11.2481910102
18,42.1388707105,22.4869743255,3.64377494058,5.5564687894,805.0,899.0,129.0,0.352380952381,216775.0,31.6872180555,53.363970003,8.64706357608,13.1860885109
22,59.3230943869,43.7344721641,1.53726236771,6.35218736766,2318.0,3888.0,1.0,0.516129032258,216775.0,51.6239218995,73.7225065822,2.59133880927,10.7077815703
25,51.5497116473,34.8194171304,2.65706611726,5.59981405066,700.0,1830.0,86.0,0.410256410256,216775.0,43.0762972983,67.5453189119,5.15437629494,10.8629396203
29,15.6317306275,13.3940865899,0.299096852172,1.28451277442,1440.0,2568.0,2.0,0.196078431373,216775.0,14.9776962165,85.6852443859,1.91339563929,8.21734205274
33,37.2718068788,26.6352316805,2.09171747502,4.23963327344,2652.0,2626.0,76.0,0.325581395349,216775.0,32.966582429,71.4621423295,5.61206351444,11.3749067418
34,49.5026862944,36.8158300171,0.891238936161,6.32887591847,2655.0,2773.0,0.0,0.384615384615,216775.0,44.0359448717,74.3713781474,1.80038499499,12.7849140971
35,62.5639662651,38.858892293,3.82937642134,3.94924508567,2064.0,4426.0,65.0,0.428571428571,216775.0,46.6375138,62.1106598777,6.12073794221,6.31233171652
37,48.6081857179,38.3123327894,1.07836859839,1.65167661004,1519.0,6310.0,14.0,0.428571428571,172136.0,41.0423779979,78.8186850087,2.21849176731,3.397939227
42,35.6762229688,24.5926461019,2.42093709657,1.43333917475,211.0,1275.0,74.0,0.636363636364,87538.0,28.4469223733,68.9328747705,6.78585594302,4.0176315077
43,27.3015418731,19.8214654929,1.38166551522,3.22990645916,1594.0,1893.0,28.0,0.263157894737,129237.0,24.4330374672,72.6020002276,5.06076001729,11.8304910183
