dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.083661249645708105,0.024914532560860889,0.023173554560211449,0.047055880197528689,0.54747101050196212,-0.0048357726329166387,1.8927e+07,78.0,6994,60.000001066344979,Average,1.7418e+07,78.0,7847,60.00079346341613,8.37591e+07,34269,4.03629e+07,76.0,16187,62.795464441119975,7.14326e+06,82.0,3281,72.282704950308428
94,0.016233599497607616,0.0076060230250975577,0.0069215509272041262,0.023032316073363222,0.0060175508235443733,0.00043409705585762851,1.85109e+06,77.0,1584,74.491640378430432,Bad,1.45676e+06,77.0,1452,60.000000096397578,1.23725e+07,11445,7.02716e+06,78.0,6367,60.000001060974313,2.03753e+06,85.0,2042,67.310144808234583
370,0.085960079118548388,0.03009941306814479,0.032851855903633681,0.053507327312696966,0.14877780179324546,0.019530875007921476,2.9886e+07,75.0,12310,61.638673128266554,Bad,1.68127e+07,75.0,8364,60.620542015613779,1.14828e+08,51686,4.58887e+07,75.0,20095,60.000000005215185,2.23205e+07,75.0,10955,69.694714533268112
410,0.0635271930105131,0.038442241252362896,0.026455526959429147,0.046613236186157481,0.63066315157577746,-0.021199171074078874,1.23983e+07,80.0,4077,66.900283931046317,Average,1.62703e+07,80.0,5890,60.000000000000028,6.34868e+07,22022,3.0442e+07,76.0,10431,60.000000148694681,4.47119e+06,84.0,1657,69.76675143439941
545,0.054759325786754381,0.013884073119267462,0.045674609868782717,0.072696597641155325,0.48349858743400537,0.012247933426238063,3.89582e+07,76.0,14058,66.013915450331027,Bad,1.28511e+07,76.0,5929,65.520154566703766,1.17353e+08,46124,4.63829e+07,72.0,17787,60.000000191436058,1.92214e+07,76.0,8378,77.026838053192208
624,0.026460978383238062,0.022085381543787336,0.026338510128708172,0.042331728630012229,0.51556922427464236,-0.0051878408544529945,1.27676e+07,80.0,7404,73.984024916700193,Good,6.04224e+06,85.0,4503,64.640626633156387,4.82549e+07,31475,2.13177e+07,78.0,13268,60.000001234262101,8.14661e+06,85.0,6313,80.19408274654424
871,0.042942228932058527,0.019549263459589163,0.025053838833844058,0.049019888060330891,0.29437404200292427,-0.0041517857572047389,1.05359e+07,78.0,5242,67.566415649072553,Average,5.41058e+06,78.0,3223,60,4.30581e+07,22925,2.31441e+07,78.0,12253,60.000000016870892,4.00667e+06,82.0,2229,69.310883565135001
1283,0.067006493276568171,0.038475743962955576,0.045144887119176816,0.068106723416291648,0.56178400969722253,0.0037575279459599229,2.78732e+07,78.0,9205,67.485544825185698,Average,1.88812e+07,78.0,7756,60.00000117446308,1.09233e+08,39417,5.29138e+07,78.0,18603,60.000001376501956,9.66231e+06,78.0,3891,65.98315688493021
1334,0.046527999709605646,0.17523220087077537,0.033801922808009977,0.050662373370782339,0.26118954276286527,-0.020332913889782808,974609.0,90.0,500,63.881749029751845,Good,193059.0,90.0,109,73.412722873995804,3.89075e+06,2035,1.7001e+06,90.0,878,60.000000018720044,1.02842e+06,90.0,551,69.264033082812574
1642,0.04794038335457005,0.037425778240684375,0.0317444131376124,0.047685622761640081,0.26352104833486645,0.0049745665527165745,1.49041e+07,72.0,6002,65.829513859516396,Bad,1.33836e+07,75.0,6618,60.000000000003389,6.58467e+07,29090,3.20117e+07,71.0,13758,60.000007620493456,5.60411e+06,82.0,2738,71.100940479359437
1953,0.051720275058191705,0.018842926564213557,0.026859988286403409,0.052635906354419677,0.35095272866114485,0.016625133362378759,1.48802e+07,78.0,5980,74.665003591817282,Average,1.22179e+07,78.0,5749,60.000000479246623,7.33352e+07,31747,3.56229e+07,78.0,14995,60.000001561929352,1.06728e+07,82.0,5050,75.183467293589118
2129,0.0509548063184651,0.0021308552272546618,0.01307621809648345,0.059106251183098438,0.90026479302304951,0.00072181457286504174,2.52135e+07,75.0,9126,71.377343019946537,Bad,1.63667e+07,75.0,7221,63.969916664201783,1.02609e+08,40056,4.91274e+07,75.0,18507,60.000000004773405,1.1992e+07,75.0,5239,60.002873461772388
