dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.083661249645708105,0.024914532560860889,0.023173554560211449,0.047055880197528689,0.54747101050196212,-0.0048357726329166387,8.9434e+06,78.0,3367,60.000001066344979,Average,7.75037e+06,78.0,3543,60.00079346341613,3.76215e+07,15644,2.5714285714285712,1.79522e+07,76.0,7346,62.795464441119975,3.02391e+06,82.0,1409,72.282704950308428
94,0.016233599497607616,0.0076060230250975577,0.0069215509272041262,0.023032316073363222,0.0060175508235443733,0.00043409705585762851,1.14805e+06,77.0,990,74.491640378430432,Bad,825446.0,77.0,821,60.000000096397578,7.61656e+06,7049,1,4.46111e+06,78.0,4051,60.000001060974313,1.18195e+06,85.0,1187,67.310144808234583
370,0.085960079118548388,0.03009941306814479,0.032851855903633681,0.053507327312696966,0.14877780179324546,0.019530875007921476,1.25069e+07,75.0,5215,61.638673128266554,Bad,6.33488e+06,75.0,3207,60.620542015613779,4.9039e+07,22300,0,1.98828e+07,75.0,8750,60.000000005215185,1.03445e+07,75.0,5142,69.694714533268112
410,0.0635271930105131,0.038442241252362896,0.026455526959429147,0.046613236186157481,0.63066315157577746,-0.021199171074078874,5.54307e+06,80.0,1848,66.900283931046317,Average,7.24778e+06,80.0,2652,60.000000000000028,3.00898e+07,10549,2.8571428571428572,1.49572e+07,76.0,5171,60.000000148694681,2.38412e+06,84.0,893,69.76675143439941
545,0.054759325786754381,0.013884073119267462,0.045674609868782717,0.072696597641155325,0.48349858743400537,0.012247933426238063,1.75458e+07,76.0,6430,66.013915450331027,Bad,5.32735e+06,76.0,2505,65.520154566703766,5.24024e+07,20859,0,2.08206e+07,72.0,8083,60.000000191436058,8.73406e+06,76.0,3853,77.026838053192208
624,0.026460978383238062,0.022085381543787336,0.026338510128708172,0.042331728630012229,0.51556922427464236,-0.0051878408544529945,6.04777e+06,80.0,3717,73.984024916700193,Good,3.7401e+06,85.0,2702,64.640626633156387,2.44854e+07,16520,3,1.01387e+07,78.0,6482,60.000001234262101,4.57387e+06,85.0,3629,80.19408274654424
871,0.042942228932058527,0.019549263459589163,0.025053838833844058,0.049019888060330891,0.29437404200292427,-0.0041517857572047389,4.8493e+06,78.0,2413,67.566415649072553,Average,2.56199e+06,78.0,1513,60,1.93778e+07,10288,2.5714285714285712,1.0359e+07,78.0,5498,60.000000016870892,1.62349e+06,82.0,873,69.310883565135001
1283,0.067006493276568171,0.038475743962955576,0.045144887119176816,0.068106723416291648,0.56178400969722253,0.0037575279459599229,1.02425e+07,78.0,3423,67.485544825185698,Average,6.57358e+06,78.0,2764,60.00000117446308,3.9951e+07,14527,2.0,2.18281e+07,78.0,7789,60.000001376501956,1.34811e+06,78.0,567,65.98315688493021
1334,0.046527999709605646,0.17523220087077537,0.033801922808009977,0.050662373370782339,0.26118954276286527,-0.020332913889782808,551032.0,90.0,278,63.881749029751845,Good,138842.0,90.0,77,73.412722873995804,1.83497e+06,946,4,795879.0,90.0,402,60.000000018720044,352829.0,90.0,191,69.264033082812574
1642,0.04794038335457005,0.037425778240684375,0.0317444131376124,0.047685622761640081,0.26352104833486645,0.0049745665527165745,7.59493e+06,72.0,3132,65.829513859516396,Bad,5.25346e+06,75.0,2632,60.000000000003389,2.82298e+07,12648,0.5714285714285714,1.28848e+07,71.0,5644,60.000007620493456,2.52067e+06,82.0,1251,71.100940479359437
