,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.032230761083921707,-0.0087513206411597155,0.053312663879747944,0.022959905439094003,0.32367338010025676,0.0051139425308298651,1955352.0,78.0,824,67.579104149851062,Average,863772.0,78.0,364,62.15581821609527,10087623.0,4251,2.5714285714285712,6110475.0,76.0,2575,60.000000000455216,1174635.0,82.0,495,85.34195051175891
94,0.017084134399236568,0.0074051140962624919,0.0083163625619318941,0.0089707113050595359,0.22217175235973974,-0.013606382325478126,730723.0,77.0,751,60.000000000002181,Bad,1073219.0,77.0,1103,60.000000000060858,5575290.0,5730,1,3439555.0,78.0,3535,60.000001517198939,345415.0,85.0,355,77.925399392337198
370,0.069476446259564728,0.028641957094855227,0.033875149100489658,0.04020265872050216,0.52307194727329198,-0.0098803200466298906,8726100.0,75.0,4050,69.357542472785696,Bad,7350162.0,75.0,3410,60,45260780.0,21010,0,18268790.0,75.0,8485,60.000000385507448,10954490.0,75.0,5083,67.395238929245664
410,0.055843969920274725,0.034542056526200904,0.018872668123852517,0.039923031097567674,0.59579134434663605,-0.020653391501278377,4693152.0,80.0,1824,67.78928385674044,Average,6664070.0,80.0,2590,60,26859547.0,10439,2.8571428571428572,13238085.0,76.0,5145,60.000003065386636,2302835.0,84.0,895,69.315704786167714
545,0.049713715399127563,0.043887441115920647,0.032480880421050698,0.064228895641229661,0.68379990247860456,-0.0099385474355163077,16179322.0,76.0,6607,65.561791771788165,Bad,9337922.0,76.0,3810,60.000005420137022,57068850.0,23295,0,20105254.0,72.0,8209,60.000000000379927,11473320.0,76.0,4680,65.943436642246112
624,0.022948983055613745,0.02028488688632912,0.021996931300725799,0.029076949617859289,0.39219824262755393,-0.0020019883740011006,5390464.0,80.0,3662,71.207322698200684,Good,3574016.0,85.0,2428,65.013744561707071,23334144.0,15852,3,9431104.0,78.0,6407,60.000001148911416,4953280.0,85.0,3365,75.330812250903477
871,0.039629929352304458,0.013201186006900687,0.013983631918766363,0.03766770539155144,0.35804756563237666,0.0028024977076857743,5069513.0,78.0,2723,67.987089354901386,Average,3209496.0,78.0,1707,60,23014610.0,12350,2.5714285714285712,11485859.0,78.0,6209,60.000001092229375,3270162.0,82.0,1722,65.773035645582212
1283,0.061485526002168098,0.020789757456554377,0.026245569684565491,0.057692813428343405,0.53722044529401025,0.0014512931856198259,8893824.0,78.0,3392,67.283634326325114,Average,4685514.0,78.0,1787,60.000000008366335,34101732.0,13006,2.0,19602072.0,78.0,7476,60.000000208172814,954408.0,78.0,364,68.055661703829173
1334,0.041596177248458592,0.097942866713884497,0.028939479466642437,0.031076226588961392,0.345660226053914,-0.015350732360200519,756903.0,90.0,399,66.737842930208487,Good,806225.0,90.0,425,60.71960999782101,4556594.0,2402,4,2386426.0,90.0,1258,60.000000807143522,620319.0,90.0,327,70.54358465829344
1642,0.050039239396307438,0.043843572364506908,0.033519455358888305,0.045798566673886779,0.47119619993375073,-0.0015037476862745935,9924761.0,72.0,4697,66.125286227067321,Bad,8574554.0,75.0,4058,60.000000041564753,43305935.0,20495,0.5714285714285714,16301795.0,71.0,7715,60.000001053167985,8540746.0,82.0,4042,67.330864223325392
1953,0.050097284709454966,0.014618649788883905,0.03632412119488982,0.046112805237646839,0.49557612953318098,0.0095560878797430384,7722490.0,78.0,3463,70.540330650992956,Average,6520520.0,78.0,2924,60.000044720300508,38454120.0,17244,2.5714285714285712,18430950.0,78.0,8265,60.000000531599753,5815840.0,82.0,2608,73.707570152717679
2129,0.0644187221454363,0.007640066762736146,0.019112437771602809,0.050241772502451432,1.0325511346141263,-0.0082875657840257317,12041112.0,75.0,4923,70.545511167094787,Bad,9113231.0,75.0,3725,61.972305944421016,57581288.0,23542,0,27698652.0,75.0,11328,60.000000036395811,8779648.0,75.0,3587,60.011814778064313
2156,0.022670122119316436,0.0077864930380961784,0.011389055781054687,0.018145858090181471,0.24835296931050557,0.0076069264465565825,2677066.0,77.0,826,64.144229624512363,Bad,774599.0,77.0,239,60.000105558519479,10679095.0,3295,0,4517954.0,76.0,1394,61.311078998851627,2712717.0,77.0,837,60.000000000000021
2242,0.054629899351328809,0.028943557127190444,0.029465126562423741,0.049449504389666568,0.56911228518861789,-0.0086285748100892699,11930538.0,73.0,6442,65.982910024092163,Bad,5021694.0,73.0,2685,65.60180791732904,51787098.0,27942,0,21214188.0,73.0,11472,60.000000001216989,13654059.0,76.0,7361,60.000215681179064
2378,0.067136494467754659,0.035637469840797062,0.058217397189613676,0.057978896176622517,0.52455678257298843,0.0074040033855066762,10236620.0,78.0,4070,69.557915023263931,Average,6465214.0,78.0,2565,60.000000000007326,41447368.0,16468,2.0,18483710.0,76.0,7355,60.00000000733035,6284502.0,78.0,2487,80.278543891481235
2470,0.039892863281607578,0.017256197650072469,0.011807569445069787,0.02227873261465723,0.36468566397037899,-0.0060170578632310978,1273602.0,76.0,839,70.904306906219759,Bad,4174500.0,80.0,2750,60.000000000058719,16696482.0,10999,1.2857142857142856,8948610.0,72.0,5895,60.000000045852588,2328612.0,80.0,1534,65.936668034275783
2557,0.047839208943625713,0.071561663758968413,0.030517893423090629,0.038341177836620867,0.37280573258762911,0.010328594548705093,4043520.0,78.0,1440,66.122200180241919,Average,3585816.0,78.0,1277,66.695502685026739,20029464.0,7133,2.0,8718840.0,78.0,3105,60.00000151509014,3698136.0,78.0,1317,76.478777992722897
2814,0.060756514942720191,0.014227467025349737,0.03410105495441957,0.054962590607257313,0.42093813900800808,0.019021034223713297,13928335.0,77.0,5435,67.648643473802963,Bad,6014876.0,77.0,2345,60.000030486685546,48593517.0,18957,0,20237237.0,77.0,7897,60.000000000027249,8443832.0,77.0,3292,75.249813132866933
2829,0.030322742141993032,0.0066377979723007286,0.016655543618443628,0.027605308051553586,0.12612673410850392,0.01615980109879709,4325787.0,77.0,1851,66.331890036450048,Bad,1930362.0,78.0,826,60.002631701275298,16735257.0,7161,1.8571428571428572,8048628.0,78.0,3444,60.000000002477698,2439828.0,84.0,1044,76.407123548685263
2953,0.026018849775868717,0.022217619011874152,0.013777031407493801,0.023694617183105515,0.18766607014874429,-0.0001415141823321992,5109720.0,79.0,3234,66.558311109288567,Good,597240.0,79.0,378,70.423077126708534,15874260.0,10047,3.1428571428571428,5650080.0,82.0,3576,60.000000010113098,4518800.0,79.0,2860,64.963998151930156
2995,0.062816749786648543,0.048725087705409162,0.021763262425656842,0.050648418767887567,0.86545095338027356,0.0092285353752474351,12694560.0,80.0,5634,68.422618874449,Bad,16511768.0,75.0,7338,60.000000940309704,69633600.0,30927,1.2857142857142856,26912480.0,73.0,11968,60,13566560.0,80.0,6010,60.948195362638444
3367,0.058810157587144238,-0.029545083626112863,0.040133585115132792,0.064273089772602057,1.0185977952824288,0.0066043114723857953,16055265.0,78.0,5535,68.602562644852952,Average,9950002.0,78.0,3429,89.999999810074144,60767094.0,20946,2.2857142857142856,26814275.0,76.0,9245,60.000005783215954,7979472.0,80.0,2748,73.989525040896382
3649,0.087495120697756473,0.033082178418014523,0.039838991136916808,0.078485051189949792,0.81688957086040626,0.013262891135468172,23413848.0,80.0,7524,63.9782910069314,Average,8462456.0,80.0,2704,60,73744236.0,23658,2.7142857142857144,34005918.0,77.0,10929,60.000000000208153,7918098.0,83.0,2519,61.651968380109516
3652,0.07739839824720042,0.056987114796875564,0.043118048372683869,0.060841080896660897,0.80510743204329605,0.0020899709306691355,11093403.0,73.0,3117,67.764060949845756,Bad,15001185.0,73.0,4215,60.000000000000902,64549583.0,18137,0,28393702.0,70.0,7978,60.000002162585233,10125355.0,75.0,2845,71.715114853148123
3736,0.047191403355215662,0.015800593492759259,0.023611013455423126,0.046617569804472979,0.31096069105300128,-0.010731648132823296,10066441.0,77.0,3829,65.383386884118977,Bad,2841949.0,77.0,1081,60,30225613.0,11497,0,11362538.0,75.0,4322,60.000001648694543,5973088.0,77.0,2272,60.000445599167243
3967,0.02293185744711753,0.012735785103242686,0.011306139942990947,0.021918614468433836,0.24197893161858205,-0.0067140296541589196,3404952.0,78.0,1368,60,Average,1894129.0,78.0,761,60.000000074580669,11611185.0,4665,2.0,3300414.0,77.0,1326,60.557013016147096,3019157.0,78.0,1213,63.121417929237623
4767,0.054806127840457318,0.017363031172543796,0.054558690333121065,0.050816347161732701,0.58767384007909007,0.023144125177913821,12670116.0,77.0,4614,64.686603243861754,Bad,5604347.0,77.0,2039,60.000249445021119,47068568.0,17137,1,20988156.0,77.0,7644,60.000000088391737,7830676.0,85.0,2849,78.901062537735683
4874,0.020331728578795626,0.02420318777960152,0.037921574843620118,0.011105388519404373,0.71136920307186557,-0.012106894250052239,5089434.0,75.0,2058,60.000001141872936,Bad,5326842.0,75.0,2154,74.644274205668907,27010106.0,10922,0,9224290.0,75.0,3730,60.000001755586524,7394270.0,75.0,2990,78.464251013823798
4922,0.038399093670240275,0.020920315442960292,0.013999580492760816,0.04041617002208403,0.30778590305003878,-0.0045892826889931439,3659712.0,77.0,2334,71.287366337869472,Bad,2871008.0,77.0,1831,65.967127996391426,20409088.0,13016,0.2857142857142857,11342912.0,78.0,7234,60.000000007766275,2546432.0,80.0,1624,60.000247065555897
4946,0.034313025968196097,0.017946167278855788,0.018469316338172021,0.029410236254134924,0.66743717030257954,-0.012338704007602072,8233018.0,78.0,5254,62.284315416062874,Average,7190963.0,78.0,4589,60,37528083.0,23949,2.0,14797181.0,78.0,9443,60.000002414490012,7338261.0,78.0,4683,60.000560235089388
4998,0.10050822359981833,0.069222685824071734,0.077113749181977165,0.087160063394001203,0.82875105371706759,0.029405326300168323,27417270.0,77.0,8526,61.150010908923157,Bad,20075749.0,78.0,6228,60.000000549486352,106979670.0,33218,1.0,37331745.0,76.0,11607,60.000000211089123,22232175.0,78.0,6881,72.878643277702992
