,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.067167124857492017,0.034959726335036516,0.044927146740256212,0.047178689301162889,0.88897250959613794,-0.028030247012476136,9295380,78.0,3390,60.000001694680712,Average,9396834,78.0,3427,60.000000000000078,45678978,16659,2.5714285714285712,19292712,76.0,7036,60.000000310740425,7748892,82.0,2826,63.179401533015259
94,0.049775929453384667,0.048453445003858855,0.030389798368185599,0.028258920829007501,0.30686676019001746,-0.002218943387966995,5334012,77.0,4401,61.942294445577161,Bad,5198268,77.0,4289,60.000000019683903,24842364,20497,1,6959304,78.0,5742,60.000000004991563,7367748,85.0,6079,61.865175745941549
370,0.063873833016749884,0.074159579216503985,0.04925001387956366,0.046965115354812452,0.68895874819021863,-0.01180701163219899,13886212,75.0,7706,60.085180656665507,Bad,12475246,75.0,6923,60.000000001030486,62915028,34914,0,17248744,75.0,9572,60,19346272,75.0,10736,62.675142923194414
410,0.07103450970884774,0.042261415151657239,0.028719427431500071,0.052461531045550194,0.84246413080522475,-0.040944127825708831,5421015,80.0,1611,67.492751339955987,Average,8244250,80.0,2450,60,32310730,9602,2.8571428571428572,16077970,76.0,4778,60.000000394571344,2611240,84.0,776,67.164464018639165
545,0.048601360513854143,0.044259347533689999,0.035731779222004233,0.064074107054671259,0.73227319225873511,-0.0045386284647498257,13054041,76.0,4347,64.958621744363754,Bad,6420414,76.0,2138,70.901970734782196,44633589,14863,0,15993978,72.0,5326,60.000000060244979,9195186,76.0,3062,70.005830750187428
624,0.022737759912811632,0.013031948690662841,0.015527850879551967,0.024870862261945154,0.39237644820645901,0.00087698799243262737,5289524,80.0,3524,65.489823628695049,Good,3060539,85.0,2039,61.446083932213647,21965634,14634,3,8423612,78.0,5612,60.000000227420145,5202466,85.0,3466,60.000000056539797
1283,0.07920928244243805,0.055542793737247215,0.057785333208385622,0.076088891058530395,0.67744360830174943,-0.0029142809853406741,10242200,78.0,3085,67.38205438263509,Average,7914880,78.0,2384,60.000013415111766,43116840,12987,2.0,23462440,78.0,7067,60.000001007100018,1540480,78.0,464,68.386274050962413
1334,0.081590103963334853,0.088819686154192445,0.043460355370978872,0.0812505530199404,0.29255846054429546,0.00021111366302374219,5024112,90.0,2256,66.560282943926268,Good,4148901,90.0,1863,60.190305067097704,22441479,10077,4,7199891,90.0,3233,60.000014114270392,6086391,90.0,2733,60.000000000003496
1642,0.056299853258556472,0.0461289815782722,0.039491687501656117,0.050811117943596031,0.36708640973997875,-0.018001404134463581,7524630,72.0,2883,64.74779786990662,Bad,5749830,75.0,2203,60.000000163093411,32371830,12403,0.5714285714285714,13170060,71.0,5046,60,5961240,82.0,2284,60.000238486798025
1953,0.049214409910229982,0.013905821035361353,0.026586673461436901,0.044518552599244567,0.56238806860882828,0.016801047189567205,6690831,78.0,2337,65.843844163968697,Average,7217623,78.0,2521,60.000000000119783,36531880,12760,2.5714285714285712,17455711,78.0,6097,60.000000000845034,5213523,82.0,1821,71.338189027704402
2129,0.051193082666689205,0.0021642108967190508,0.02767023350173595,0.05685694743155751,1.0157197624441332,0.0014581341538807131,12003945,75.0,4065,71.562923065517722,Bad,7784108,75.0,2636,89.745308013518653,52147027,17659,0,24811106,75.0,8402,60.000000000211976,7592163,75.0,2571,60
2156,0.062174357456861527,0.088062484058317472,0.058378080809909569,0.051916128410504817,0.98030406454996077,-0.02816120818649134,11405148,77.0,2967,63.154092141982424,Bad,6996080,77.0,1820,60.000002029384532,48296016,12564,0,15118452,76.0,3933,60,14799400,77.0,3850,61.523062530322164
