dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.032230761083921707,-0.0087513206411597155,0.053312663879747944,0.022959905439094003,0.32367338010025676,0.0051139425308298651,1955352.0,78.0,824,67.579104149851062,Average,863772.0,78.0,364,62.15581821609527,10087623.0,4251,2.5714285714285712,6110475.0,76.0,2575,60.000000000455216,1174635.0,82.0,495,85.34195051175891
94,0.015050687483459181,0.0080106247489621658,0.0062885001538778061,0.01085838588430812,0.18602897341219085,-0.010646040954958079,661640.0,77.0,680,71.691629789037265,Bad,872781.0,77.0,897,60.000000221802317,5664806.0,5822,1,3424960.0,78.0,3520,60.000000000001187,712236.0,85.0,732,71.069291564581178
370,0.055297873128025553,0.014612370128067249,0.042595904584218039,0.033606216666632167,0.32574222441696282,0.0031568156100034179,8487450.0,75.0,3939,64.64751702715489,Bad,3591962.0,75.0,1662,60,32943430.0,15281,0,14011790.0,75.0,6505,60.000001932473062,6884540.0,75.0,3190,78.373040763766667
410,0.049396484889334367,0.0321555976471442,0.01806834132192885,0.032243345798442971,0.63865117549006711,-0.023813822309688051,4250596.0,80.0,1652,65.579760067913867,Average,6563723.0,80.0,2551,60,24641621.0,9577,2.8571428571428572,11686566.0,76.0,4542,60.000007850466787,2179331.0,84.0,847,68.157486255242006
545,0.030737304181379436,0.030286522752629049,0.020456499167744609,0.03047663885180852,0.69588947646374388,-0.011601670339149089,7823786.0,76.0,3191,65.027444906281758,Bad,7339540.0,76.0,2993,60,34624354.0,14119,0,11240950.0,72.0,4585,60.000004448138583,8244600.0,76.0,3360,65.662206803153182
624,0.025167726913127336,0.018487483728446878,0.021652766897817487,0.029458804644391143,0.35154297508721055,-0.0039574788760974233,5137280.0,80.0,3490,70.787300018562021,Good,3076480.0,85.0,2090,60.00239707563972,21317504.0,14482,3,9007168.0,78.0,6119,60.000000812185789,4111296.0,85.0,2793,75.11651769863191
871,0.037749486201740866,0.016589882285780198,0.014785572424992637,0.037054548372061055,0.29158733088172756,0.0030537545248526241,4538523.0,78.0,2433,67.63594866755227,Average,2843296.0,78.0,1507,60.000002576253365,19239088.0,10288,2.5714285714285712,10022890.0,78.0,5410,60.000002586306096,1851137.0,82.0,947,75.773368278843733
1283,0.061485526002168098,0.020789757456554377,0.026245569684565491,0.057692813428343405,0.53722044529401025,0.0014512931856198259,8893824.0,78.0,3392,67.283634326325114,Average,4685514.0,78.0,1787,60.000000008366335,34101732.0,13006,2.0,19602072.0,78.0,7476,60.000000208172814,954408.0,78.0,364,68.055661703829173
1334,0.038950767324908556,0.091541947584362085,0.032970231047309791,0.033601683469629932,0.32726819731488921,-0.020726346216091891,629804.0,90.0,332,64.962026204845046,Good,722757.0,90.0,381,60.000000210604306,3355793.0,1769,4,1475866.0,90.0,778,60.000000000398749,534954.0,90.0,282,73.702151435349066
1642,0.050248220451058201,0.043849062384200679,0.03312304052131039,0.045800740902232441,0.46622590872842201,-0.0016167026840870136,9920535.0,72.0,4695,66.058020099182642,Bad,8542859.0,75.0,4043,60.000000130986038,43208737.0,20449,0.5714285714285714,16274326.0,71.0,7702,60.000001501080114,8506938.0,82.0,4026,67.012035499828528
1953,0.049138410289260422,0.014215747580321044,0.035308138149284095,0.045601492131318214,0.48500127277072413,0.0097576188971099983,7561182.0,78.0,3426,70.659746668700976,Average,6353953.0,78.0,2879,60.000000398233176,37450583.0,16969,2.5714285714285712,18066502.0,78.0,8186,60.000000018919842,5504258.0,82.0,2494,73.465697983133367
2129,0.064347626367722593,0.0075442360085736463,0.019074480980605039,0.050230880457754708,1.032041508627823,-0.0082254026492309916,12036224.0,75.0,4921,70.556110678777571,Bad,9103455.0,75.0,3721,61.861847362653513,57532408.0,23522,0,27683988.0,75.0,11322,60.000000011354118,8760096.0,75.0,3579,60.00816063828379
2156,0.024605609070817533,0.0049317622110146581,0.015525736726744016,0.030383851394388709,0.24821692146046312,0.0079350664081103313,6763967.0,77.0,2087,67.754405889120136,Bad,1053325.0,77.0,325,60,19527025.0,6025,0,8167320.0,76.0,2520,60.000000012333608,3552136.0,77.0,1096,60.020524792692186
2242,0.048866478539839484,0.025741199334188624,0.025380957821762161,0.0407541654302985,0.56364166412145889,-0.0072927616542315145,8889810.0,73.0,4807,68.155966875084218,Bad,3599590.0,73.0,1916,65.908003288251479,42604110.0,23037,0,19436700.0,73.0,10550,60.000000779645191,10705770.0,76.0,5779,60.000017234459051
2470,0.03527365842794266,0.019130957710032731,0.012593934151581757,0.023546667868542884,0.31871537425682561,-0.0076102260520160498,1135464.0,76.0,748,71.143801573885042,Bad,3675078.0,80.0,2421,61.57407327038451,14149278.0,9321,1.2857142857142856,7530798.0,72.0,4961,60.000000318152708,1833744.0,80.0,1208,69.073632627937656
2557,0.047668830001252376,0.071772356524463704,0.030725783150646686,0.037658236956513595,0.36522122862476442,0.010936995596728383,4004208.0,78.0,1426,65.299413245216513,Average,3549312.0,78.0,1264,66.790735489183874,19670040.0,7005,2.0,8553168.0,78.0,3046,60.000009196853377,3580200.0,78.0,1275,76.539609448358789
2814,0.053328793775640697,0.011997102101245251,0.017963551324731045,0.045849911442459527,0.24304146376539693,-0.00048263851303727339,8824262.0,77.0,3442,68.220600300616951,Bad,2954481.0,77.0,1150,60,30336148.0,11828,0,13663150.0,77.0,5330,60.000001065174615,4912213.0,77.0,1913,65.953368059875885
2829,0.028018738152291327,0.0064178166638948677,0.018896863239445498,0.033882464632359284,0.075332172476752959,0.012398871259761902,5216184.0,77.0,2232,70.280599698988922,Bad,1002573.0,78.0,429,60.001195138585238,16805367.0,7191,1.8571428571428572,8123412.0,78.0,3476,60.000000034431707,2463198.0,84.0,1054,70.899190184786477
2953,0.02132761695324006,0.024620008445600694,0.013815427665374922,0.022793779810006621,0.18152054326630557,-0.0022717180452683813,4404526.0,79.0,2758,67.257491497081602,Good,421608.0,79.0,264,71.362011593374987,12791970.0,8010,3.1428571428571428,4642479.0,82.0,2907,60.000001169506334,3324954.0,79.0,2082,69.177374835734199
2995,0.058490729608598517,0.047926167970451176,0.019827412499934863,0.047953974359208514,0.82402470509030767,0.013603695544113618,11820960.0,80.0,5244,69.128916818128118,Bad,16068248.0,75.0,7140,60.000000118638546,65617280.0,29134,1.2857142857142856,25577440.0,73.0,11372,60,12200160.0,80.0,5400,62.341926828096781
3367,0.057828965553045036,0.030395914750162786,0.036390335047628147,0.067718155153685858,0.81917183051353359,-0.0022011887454001914,14443421.0,78.0,4979,69.09964184007093,Average,7738065.0,78.0,2666,60.000000953062724,51475799.0,17741,2.2857142857142856,23651466.0,76.0,8154,60,5666070.0,80.0,1950,72.5417672617493
3649,0.086377514794792401,0.037005100407998544,0.038752001308703987,0.055208347885132625,0.74917605639261353,-0.00019140161586580451,15590604.0,80.0,5002,62.718490083743333,Average,7637324.0,80.0,2438,60.000000006512849,55194276.0,17678,2.7142857142857144,27761592.0,77.0,8916,60.000003096387843,4257738.0,83.0,1339,66.954181335931281
3652,0.083735498647075746,0.047425787439537306,0.035322891426729293,0.054261576138677187,0.80867800297578252,-0.0095474998893290228,5605425.0,73.0,1575,67.210576347720476,Bad,9267636.0,73.0,2604,60.000000040401012,37248494.0,10466,0,18581539.0,70.0,5221,60.000003941481303,3847279.0,75.0,1081,68.298284757776656
3736,0.046983461994196417,0.014765857401785291,0.021666340529775893,0.046559457849824924,0.20999057468438206,-0.0093427426791811465,9175680.0,77.0,3540,66.486478534387871,Bad,2045088.0,77.0,789,60,26508384.0,10227,0,10248768.0,75.0,3954,60.00000000039536,5051808.0,77.0,1949,60.349998377495233
3967,0.025769760536603563,0.015350713107436941,0.011656579528337516,0.017820089891834007,0.4131009974718034,0.0021159877356393426,3864553.0,78.0,1619,60.000000000184443,Average,3931389.0,78.0,1647,60.000005125746455,19733329.0,8267,2.0,6552315.0,77.0,2745,60.000000000000043,5406555.0,78.0,2265,60.001498919875743
4874,0.047258956778001814,0.02309414927831771,0.042231319597306478,0.051284036055497403,0.37968116557493481,0.00022418560961211375,11551383.0,75.0,4671,65.088429484605044,Bad,4968257.0,75.0,2009,66.039100677287166,38526867.0,15579,0,14889933.0,75.0,6021,60.000004424473474,7139551.0,75.0,2887,77.095176701319502
4922,0.037897022059409834,0.019964007030588579,0.014281305907779268,0.038932084151801265,0.28737443950526698,-0.0026716210404455687,3449600.0,77.0,2200,70.807771830714699,Bad,2761248.0,77.0,1761,65.861833006080303,19516896.0,12447,0.2857142857142857,11019904.0,78.0,7028,60.00000030498898,2297120.0,80.0,1465,60.000033989310062
4946,0.031452159273930483,0.015032979512816284,0.014142131056267094,0.026871757119836307,0.39895651758508971,-0.00046432381765900847,6037651.0,78.0,3853,66.307124185006018,Average,3622904.0,78.0,2312,61.353779323881845,24819713.0,15839,2.0,10638363.0,78.0,6789,60.000000875906757,4536465.0,78.0,2895,60.000337320541341
4998,0.10050822359981833,0.069222685824071734,0.077113749181977165,0.087160063394001203,0.82875105371706759,0.029405326300168323,27417270.0,77.0,8526,61.150010908923157,Bad,20075749.0,78.0,6228,60.000000549486352,106979670.0,33218,1.0,37331745.0,76.0,11607,60.000000211089123,22232175.0,78.0,6881,72.878643277702992
5026,0.080623226212122701,0.051752640808581475,0.047588147501475025,0.068875339921595252,0.83415614614828726,0.0013703316930203141,19477020.0,74.0,7353,63.789619652964547,Bad,15601717.0,72.0,5885,60.000093471820861,73604160.0,27762,0,30374580.0,72.0,11471,60.000000174978432,8219700.0,75.0,3079,71.782172499736802
