dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.044968143068242504,0.011680940069771693,0.01352246217582339,0.025976119287027342,0.51818974488369762,0.01386244807319084,8028558.0,78.0,5565,60,Average,4677364.0,78.0,4787,72.903987367575496,33615810.0,26130,2.5714285714285712,15302121.0,76.0,9285,60.000000018665233,5635764.0,82.0,6510,70.517696905189766
94,0.01229475980919322,0.0051771696336096271,0.0045279012213181582,0.0088350587769825822,0.17079527044670484,-0.0034740240573009964,979590.0,77.0,623,63.124792393600899,Bad,1354671.0,77.0,750,60.00000004205117,7517448.0,4923,1,4015509.0,78.0,2830,60.00000636561068,1175130.0,85.0,724,69.317860597463635
370,0.038518421454861042,0.017196076197345839,0.01592804263920514,0.025810183288643408,0.38216800828994846,0.0017704788359488713,6042271.0,75.0,3831,64.988015076769216,Bad,5784753.0,75.0,3472,60.000000000000007,31022580.0,19320,0,11413665.0,75.0,6901,60.000000000633278,7806785.0,75.0,5130,60.540586095671067
410,0.056854907227864585,0.036919332908456642,0.016452850266834566,0.037378138887340061,0.65032401754391278,-0.014337597984028349,5393628.0,80.0,2376,66.992878294793513,Average,7770367.0,80.0,3022,60.000001050868889,31758212.0,14495,2.8571428571428572,15166959.0,76.0,6720,60.000003156576348,3476027.0,84.0,2399,70.473745226733172
545,0.036428199619747678,0.034408694486983429,0.024811711960921017,0.042864540763224733,0.57822394737683458,-0.013122763577118664,9841707.0,76.0,3342,67.41363119826913,Bad,7621109.0,76.0,2865,60.000011663211829,39182368.0,13671,0,13253755.0,72.0,4656,60.000000000038725,8486380.0,76.0,2815,66.166659300602191
624,0.020839540477648282,0.019998125708569972,0.026078710122416096,0.031792306160102139,0.42321438928746563,0.0021874641841309749,4289924.0,80.0,3276,74.918330330544137,Good,2762962.0,85.0,2336,68.811149445605324,17711463.0,14451,3,7371270.0,78.0,5742,60.00000555832554,3300495.0,85.0,3107,82.105145611189897
871,0.017574941539744933,0.0033515286590190441,0.0065049603360317065,0.016022883722926207,0.19604084581005882,0.0029506540767234085,2414912.0,78.0,1691,64.178381710952081,Average,1431440.0,78.0,774,60.00000044887588,10785617.0,6893,2.5714285714285712,5100528.0,78.0,3360,60.000004812624226,1852263.0,82.0,1076,60.000026571255233
1283,0.049082465137016841,0.015966526729892162,0.020020504100592643,0.044442546520195886,0.60080740325376458,0.0059462098437564961,8542336.0,78.0,5292,66.301981993598162,Average,6696925.0,78.0,4201,60.000000001015003,37898779.0,23263,2.0,18465649.0,78.0,9037,60.000001226740153,4229806.0,78.0,4750,71.052821477049321
1334,0.022145654442937361,0.011895719409357604,0.039311352987595402,0.030007360185778795,0.33395024150428415,-0.021614480058892944,888060.0,90.0,896,64.154235801157427,Good,503136.0,90.0,685,63.679486565640097,3824633.0,4458,4,1797096.0,90.0,2190,60.000000007330087,643692.0,90.0,696,80.845554045543707
1642,0.05127294456084288,0.044039696794970586,0.030938136026287678,0.047665141449992038,0.55278434746054916,0.0026882383104306321,10011509.0,72.0,4999,67.593543784404687,Bad,8910121.0,75.0,4441,60.000017844479579,43454660.0,22524,0.5714285714285714,17637822.0,71.0,8145,60.00000000000022,6932420.0,82.0,4957,69.458739922141106
1953,0.052432209531240136,0.012723692264044125,0.044997932091713114,0.051391271706107723,0.54591689415242584,0.012908763110071384,8432304.0,78.0,3569,71.087556627200243,Average,6698038.0,78.0,3010,60.001294310456728,41017505.0,17896,2.5714285714285712,19864228.0,78.0,8424,60.000000282734661,6060291.0,82.0,2909,77.142286810656429
